"id,question,answer,point,title"
"001,現在形の定義は？,""昨日も今日も明日も変わらない"",POINT 1,基本３時制の定義"
"002,現在形で表せるのは◯的な予定？,""公的な予定"",POINT 1,基本３時制の定義"
"003,現在進行形で表せるのは◯的な予定？,""私的な予定"",POINT 1,基本３時制の定義"
"004,未来表現パターンを7つ答えよ。,""①will ②be going toV～ ③現在形「公的な予定」 ④現在進行形「私的な予定」 ⑤be about toV～「まさに～しようとするところ」　⑥be supposed toV～「～することになっている」 ⑦be toV～「～することになっている」"",POINT 2,様々な未来表現"
"005,willとbe going toVの違いは何か？,""willは[その場でする気になったこと]/ be going toVは[それ以前からするつもりでいたこと]を表す"",POINT 2,様々な未来表現"
"006,進行形のキーワードを3つ答えよ。,""瞬間・途中・限定"",POINT 3,進行形の定義"
"007,現在進行形で表せるのは◯的な予定？,""私的な予定"",POINT 3,進行形の定義"
"008,alwaysやconstantlyといった副詞を伴うとどのようなニュアンスと訳になる？,""[非難]のニュアンスを含めた反復。「いつも～してばかりいる」"",POINT 3,進行形の定義"
"009,過去進行形は、◯◯を強調する副詞を伴うことが多い。,""そのときだけ"",POINT 3,進行形の定義"
"010,過去進行形が伴う副詞を4つ答えよ。,""①then ②at that moment ③at that time ④when S 動作V過去形～"",POINT 3,進行形の定義"
"011,未来進行形でよく使う副詞は何？,""at this time tomorrow / at this time next week"",POINT 3,進行形の定義"
"012,現在完了形のキーワードは？,""現在までの  つ ・ な ・ が ・ り"",POINT 6,現在完了形の用法①～完了・結果・経験～"
"013,現在完了形の訳し方は？,""基本的には「今までに～してきた」と訳せば問題ない"",POINT 6,現在完了形の用法①～完了・結果・経験～"
"014,have gone toV～とhave been toV～の違いは？,""have gone to～→帰ってきていない / have been to～→帰ってきている"",POINT 6,現在完了形の用法①～完了・結果・経験～"
"015,現在完了形（継続）の訳し方は？,""今までずっと～し続けてきた"",POINT 7,現在完了形の用法②～継続～"
"016,状態動詞を現在完了形で使うと、どのような意味になる？,""今までずっと～してきた"",POINT 7,現在完了形の用法②～継続～"
"017,過去から現在までどの瞬間もその行動をしていたら、どのような意味になる？また、動詞の形はどうなる？,""今までずっと～し続けてきた / have been Ving～"",POINT 7,現在完了形の用法②～継続～"
"018,現在完了形で使えない副詞を8つ挙げよ。,""yesterday / last month / then / just now / ～ago / when I was～ / When～？ / in 1986"",POINT 8,現在完了形の用法③～注意点～"
"019,『～して…経った』シリーズで、「私の父が亡くなって10年になる」を5つの表現で答えよ。,""Ten years have passed since my father died. / It has been ten years since my father died. / It is ten years since my father died. / My father died ten years ago. / My father has been dead for 10 years."",POINT 8,現在完了形の用法③～注意点～"
"020,過去完了形のキーワードは？,""過去②から過去①までの  つ ・ な ・ が ・ り"",POINT 9,過去完了形の用法①～完了・結果・経験～"
"021,過去完了形の基本の訳し方は？,""それまでに～してきた"",POINT 9,過去完了形の用法①～完了・結果・経験～"
"022,過去完了形（継続）の訳し方は？,""それまでずっと～し続けてきた"",POINT 10,過去完了形の用法②～継続～"
"023,状態動詞を過去完了形で使うと、どのような意味になる？,""それまでずっと～してきた"",POINT 10,過去完了形の用法②～継続～"
"024,過去②から過去①までどの瞬間もその行動をしていたら、どのような意味になる？また、動詞の形はどうなる？,""それまでずっと～し続けてきた / had been Ving～"",POINT 10,過去完了形の用法②～継続～"
"025,名詞的用法の意味は？,""〜すること"",POINT 45,不定詞の基本① 名詞的用法"
"026,名詞的用法を置けるのはどこ？また、名詞的用法にも関わらず置けないのはどこ？,""S・O・Cには使えるが、前置詞の後には使えない"",POINT 45,不定詞の基本① 名詞的用法"
"027,to不定詞句が重要情報の場合は後ろに回し、代わりにSには何を置く？,""仮主語のItを置く"",POINT 45,不定詞の基本① 名詞的用法"
"028,目的語のto不定詞は何とくっつく？,""他動詞（例：want toV / need toV など）"",POINT 45,不定詞の基本① 名詞的用法"
"029,ＳＶＯＣのＯがto不定詞句の場合は後ろに回し、代わりにOには何を置く？,""仮目的語のitを置く"",POINT 45,不定詞の基本① 名詞的用法"
"030,Cにto不定詞句が置かれる場合、SとVはどんなパターン？,""S beV toV～の形（ただしSが人以外）"",POINT 45,不定詞の基本① 名詞的用法"
"031,形容詞的用法の意味は？,""〜する名詞・〜すべき名詞"",POINT 46,不定詞の基本② 形容詞的用法"
"032,形容詞的用法と判断できる名詞の特徴を6つ答えよ。,""①a＋名詞 ②someone/anybody/nothingなど ③time/place/reason/way ④力・努力・権利・方法・可能性・機会を表す名詞（power / effort / right / way / means / possibility / chance/ opportunity） ⑤動詞や形容詞の名詞形 ⑥the first / the last / the only / 最上級＋名詞"",POINT 46,不定詞の基本② 形容詞的用法"
"033,副詞的用法の基本の訳し方は？,""〜するために"",POINT 47,不定詞の基本③ 副詞的用法"
